stage,candidate,beta,intercept_objective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,citl_abs_error_change,slope_raw,slope_candidate,slope_abs_error_change,worst_supported_pattern_regret,coverage,ranking_preserved,passes_global_brier_gate,passes_pattern_gate,citl_improved,slope_improved,exploratory_screen_pass
U5R6,beta_0.900_brier,0.9,brier,0.126636630558532,0.12687597023525632,0.00023933967672432055,0.011680298694808466,-0.0160980191017982,0.0044177204069897336,0.8258867071770277,0.8787441880084442,-0.0528574808314165,0.004553981289478648,1.0,True,True,True,False,True,False
U5R6,beta_0.900_mix_25,0.9,mix_25,0.126636630558532,0.12681770300660625,0.00018107244807424872,0.011680298694808466,-0.009862706945608535,-0.0018175917491999316,0.8258867071770277,0.8812374026763363,-0.0553506954993086,0.0043040681654321344,1.0,True,True,True,True,True,True
U5R6,beta_0.900_mix_50,0.9,mix_50,0.126636630558532,0.126798486042024,0.00016185548349201273,0.011680298694808466,-0.006759831608833311,-0.004920467085975155,0.8258867071770277,0.8815698994860691,-0.055683192309041396,0.004230586606167902,1.0,True,True,True,True,True,True
U5R6,beta_0.900_mix_75,0.9,mix_75,0.126636630558532,0.12678908844136288,0.00015245788283088646,0.011680298694808466,-0.004961619437708231,-0.006718679257100235,0.8258867071770277,0.881592984728428,-0.05570627755140023,0.004195944363337228,1.0,True,True,True,True,True,True
U5R6,beta_0.900_logloss,0.9,logloss,0.126636630558532,0.12678355857576806,0.0001469280172360643,0.011680298694808466,-0.0037963961329253726,-0.007883902561883094,0.8258867071770277,0.8815519914072262,-0.05566528423019845,0.004175819337348785,1.0,True,True,True,True,True,True
U5R6,beta_0.925_brier,0.925,brier,0.126636630558532,0.12693651711328752,0.0002998865547555185,0.011680298694808466,-0.012066337992912624,0.00038603929810415716,0.8258867071770277,0.8553869454826246,-0.029500238305596893,0.003996312679629854,1.0,True,True,True,False,True,False
U5R6,beta_0.925_mix_25,0.925,mix_25,0.126636630558532,0.12687356671203245,0.0002369361535004555,0.011680298694808466,-0.008068119919046934,-0.003612178775761532,0.8258867071770277,0.8579312647340334,-0.03204455755700564,0.003592997401545034,1.0,True,True,True,True,True,True
U5R6,beta_0.925_mix_50,0.925,mix_50,0.126636630558532,0.1268525579957388,0.00021592743720680319,0.011680298694808466,-0.005932657463649238,-0.005747641231159228,0.8258867071770277,0.858286781018049,-0.03240007384102128,0.0034556594961237252,1.0,True,True,True,True,True,True
U5R6,beta_0.925_mix_75,0.925,mix_75,0.126636630558532,0.12684215816962552,0.00020552761109352002,0.011680298694808466,-0.004674628664352476,-0.0070056700304559905,0.8258867071770277,0.8583263683546005,-0.0324396611775728,0.003385657488247845,1.0,True,True,True,True,True,True
U5R6,beta_0.925_logloss,0.925,logloss,0.126636630558532,0.1268359817842952,0.0001993512257632002,0.011680298694808466,-0.0038539433730017114,-0.007826355321806755,0.8258867071770277,0.8582974018496595,-0.0324106946726318,0.003343035692774138,1.0,True,True,True,True,True,True
U5R6,beta_0.950_brier,0.95,brier,0.126636630558532,0.1270054783288705,0.0003688477703384929,0.011680298694808466,-0.00787915498328029,-0.0038011437115281765,0.8258867071770277,0.8332284563137144,-0.007341749136686726,0.0034643746507730944,1.0,True,True,True,True,True,True
U5R6,beta_0.950_mix_25,0.95,mix_25,0.126636630558532,0.12693792603945028,0.0003012954809182844,0.011680298694808466,-0.0062091056028033,-0.005471193092005167,0.8258867071770277,0.8358178896744559,-0.009931182497428193,0.002901960888549493,1.0,True,True,True,True,True,True
U5R6,beta_0.950_mix_50,0.95,mix_50,0.126636630558532,0.1269152950101627,0.0002786644516306891,0.011680298694808466,-0.005075169441918659,-0.006605129252889808,0.8258867071770277,0.8361939398323724,-0.010307232655344722,0.0026988702488363603,1.0,True,True,True,True,True,True
U5R6,beta_0.950_mix_75,0.95,mix_75,0.126636630558532,0.12690401687889144,0.00026738632035944176,0.011680298694808466,-0.004375887076905949,-0.007304411617902518,0.8258867071770277,0.8362487517515135,-0.010362044574485751,0.0025925181116378537,1.0,True,True,True,True,True,True
U5R6,beta_0.950_logloss,0.95,logloss,0.126636630558532,0.12689728340806655,0.0002606528495345539,0.011680298694808466,-0.0039115726373641704,-0.007768726057444296,0.8258867071770277,0.8362307136162169,-0.010344006439189202,0.002526779154756298,1.0,True,True,True,True,True,True
U5R6,beta_0.975_brier,0.975,brier,0.126636630558532,0.12708255021467757,0.0004459196561455714,0.011680298694808466,-0.0035375010480704905,-0.008142797646737976,0.8258867071770277,0.8121786480321507,0.01370805914487705,0.002958005297820171,1.0,True,True,True,True,False,False
U5R6,beta_0.975_mix_25,0.975,mix_25,0.126636630558532,0.12701049466225245,0.0003738641037204504,0.011680298694808466,-0.004287049456829561,-0.007393249237978905,0.8258867071770277,0.8148081130563034,0.011078594120724317,0.0022308509283721634,1.0,True,True,True,True,False,False
U5R6,beta_0.975_mix_50,0.975,mix_50,0.126636630558532,0.12698642870247945,0.00034979814394744957,0.011680298694808466,-0.004188149079874526,-0.007492149614933941,0.8258867071770277,0.81520285533751,0.0106838518395177,0.0019601921946090783,1.0,True,True,True,True,False,False
U5R6,beta_0.975_mix_75,0.975,mix_75,0.126636630558532,0.12697440887333344,0.0003377783148014457,0.011680298694808466,-0.004065722547769268,-0.007614576147039198,0.8258867071770277,0.815271512265267,0.010615194911760772,0.0018165538405693904,1.0,True,True,True,True,False,False
U5R6,beta_0.975_logloss,0.975,logloss,0.126636630558532,0.1269672168759457,0.00033058631741370026,0.011680298694808466,-0.003969289949838861,-0.007711008744969605,0.8258867071770277,0.8152634463835391,0.010623260793488631,0.0017271158190539093,1.0,True,True,True,True,False,False
